file root,scan number,scan time,total ion current,precursor m/z,precursor charge,precursor mass delta,confidence,annotation,modification,usi
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,3,0.006816487,466132.9892,433.3262024,2,-447.9755952,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,4,0.009168079,491233.7842,414.3612366,2,-485.9055269,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,6,0.014010605,394924.5764,401.8470975,2,-510.9338049,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,8,0.019005466,509165.5291,433.3305784,2,-447.9668431,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,11,0.027980136,397409.4709,414.315065,2,-485.9978701,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,12,0.030333671,735186.215,521.1163868,2,-272.3952265,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,14,0.035246665,421725.351,401.8471562,2,-510.9336877,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,20,0.055425753,340406.6013,411.1714918,2,-492.2850163,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,23,0.064389098,276818.376,409.4399338,2,-495.7481323,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,26,0.073099226,248163.1688,427.3777477,2,-459.8725046,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,31,0.089950909,433927.6761,461.3620852,2,-391.9038296,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,37,0.110126788,1393262.292,428.8906903,2,-456.8466194,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,43,0.130223253,136600.933,831.4116211,2,348.1952422,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,50,0.154532496,179261.5546,409.4398058,2,-495.7483885,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,51,0.156882946,262032.2195,416.8723323,2,-480.8833354,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,56,0.173091071,268333.0137,406.8431209,2,-500.9417582,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,66,0.208702853,232375.6339,523.7815865,2,-267.064827,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,73,0.232810812,132411.0736,760.2199961,2,205.8119923,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,80,0.257055461,546337.4619,414.3653675,2,-485.897265,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,103,0.342050121,138100.992,746.1912331,2,177.7544663,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,105,0.347096117,313709.437,410.9344258,2,-492.7591483,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,115,0.383007665,172389.6323,466.8080243,2,-381.0119514,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,151,0.518981287,348041.5159,402.1791742,2,-510.2696517,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,156,0.535522093,409522.4012,414.3148838,2,-485.9982324,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,166,0.571391444,224738.5885,409.4399116,2,-495.7481768,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,178,0.614391051,335424.1768,402.1792016,2,-510.2695968,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,180,0.619462614,135646.3393,821.7360229,2,328.8440459,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,191,0.65915071,168091.6864,454.2385375,3,48.08761242,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,194,0.668041061,434806.4468,461.361858,2,-391.9042841,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,201,0.692394307,777955.6223,431.2241886,2,-452.1796229,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,207,0.712824657,221023.0201,409.4397798,2,-495.7484403,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,224,0.775328885,132688.2351,854.9450684,5,2960.097342,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,231,0.799950297,212618.5598,454.2385142,3,48.08754273,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,251,0.873948639,474047.9975,433.3305325,2,-447.9669349,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,276,0.967866728,144075.8291,746.1920589,2,177.7561178,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,294,1.033805064,190891.8358,405.2994742,2,-504.0290516,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,298,1.046468845,436076.3751,414.3152996,2,-485.9974007,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,304,1.06692503,314528.4172,402.1793016,2,-510.2693968,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,325,1.14495407,241248.7761,409.4398556,2,-495.7482888,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,330,1.161612382,224503.2492,427.3776073,2,-459.8727853,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,338,1.189583123,347406.9434,401.8471053,2,-510.9337894,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,373,1.320514086,322188.7963,402.1793,2,-510.2694,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,377,1.333272276,469594.872,414.8681399,6,1174.58084,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,379,1.338213825,423845.4387,461.3619504,2,-391.9040991,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,435,1.550027987,393687.084,414.3149379,2,-485.9981242,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,562,2.033248609,395606.0689,414.8685306,6,1174.583183,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,569,2.057496492,339398.65,414.3150747,2,-485.9978506,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,574,2.073891478,218702.7005,409.43999,2,-495.7480199,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,702,2.559754984,311750.7974,414.3151442,2,-485.9977115,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,714,2.60303058,435115.6133,461.3622398,2,-391.9035204,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,738,2.692465906,170578.3211,405.2993916,2,-504.0292168,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,760,2.773825973,1371805.595,428.8907646,2,-456.8464707,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,785,2.8666609,191866.3848,409.4399585,2,-495.7480829,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,790,2.883136628,352996.7953,415.0362002,2,-484.5555996,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,873,3.197051937,166507.1348,405.2994841,2,-504.0290317,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,943,3.461363326,171360.5721,409.4399881,2,-495.7480237,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,992,3.645366608,135242.802,1095.203735,5,4161.390677,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1108,4.084733641,119233.9393,409.4402967,2,-495.7474066,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,1146,4.22662933,286726.1576,414.3152189,2,-485.9975621,,,,
