file root,scan number,scan time,total ion current,precursor m/z,precursor charge,precursor mass delta,confidence,modification,usi,comments
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,3,0.00681648746666667,466132.98919677734,433.3262023925781,2,-447.9755952148437,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,4,0.00916807866666667,491233.7841796875,414.3612365722656,2,-485.9055268554687,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,6,0.0140106048,394924.57638549805,401.8470975369465,2,-510.933804926107,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,8,0.0190054656,509165.5290527344,433.3305784486284,2,-447.96684310274316,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,11,0.0279801357333333,397409.47088623047,414.31506495720936,2,-485.9978700855812,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,12,0.0303336714666667,735186.2149658203,521.1163867735371,2,-272.3952264529257,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,14,0.0352466650666667,421725.35095214844,401.84715616553655,2,-510.93368766892684,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,20,0.0554257528,340406.6012573242,411.1714918441392,2,-492.2850163117215,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,23,0.0643890976,276818.37603759766,409.4399338337144,2,-495.7481323325711,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,26,0.0730992261333333,248163.1688232422,427.37774771645496,2,-459.87250456709,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,31,0.0899509093333333,433927.67614746094,461.36208520745146,2,-391.903829585097,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,37,0.110126788266667,1393262.2921447754,428.89069030437736,2,-456.8466193912452,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,43,0.1302232528,136600.93298339844,831.41162109375,2,348.19524218750007,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,50,0.154532496,179261.55462646484,409.43980577378227,2,-495.7483884524354,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,51,0.156882946133333,262032.21954345703,416.87233229380524,2,-480.88333541238944,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,56,0.173091070933333,268333.01373291016,406.8431208952468,2,-500.94175820950636,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,66,0.208702852533333,232375.6339111328,523.7815864964892,2,-267.06482700702145,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,73,0.232810811733333,132411.07360839844,760.2199961427441,2,205.81199228548826,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,80,0.257055461333333,546337.4619140625,414.36536748244725,2,-485.8972650351054,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,103,0.342050120533333,138100.99200439453,746.1912331317145,2,177.7544662634291,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,105,0.347096116533333,313709.43701171875,410.9344258339448,2,-492.7591483321104,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,115,0.383007664533333,172389.6322631836,466.8080242891438,2,-381.0119514217123,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,151,0.518981287466667,348041.5158996582,402.1791741690137,2,-510.2696516619725,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,156,0.5355220928,409522.40118408203,414.31488380286453,2,-485.9982323942709,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,166,0.571391443733333,224738.58850097656,409.4399116213916,2,-495.7481767572167,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,178,0.614391051466667,335424.17684936523,402.1792016130681,2,-510.2695967738638,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,180,0.619462614133333,135646.3392944336,821.7360229492188,2,328.84404589843757,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,191,0.6591507104,168091.68643188477,454.2385374738754,3,48.08761242162632,,,,
C:\Users\carol\Downloads\250402_mEclipse_QC_ncORF-089.mzML\250402_mEclipse_QC_ncORF-089.mzML,194,0.668041061333333,434806.4468383789,461.3618579686947,2,-391.9042840626105,,,,
