FileRoot,ScanNumber,ScanTime,TIC
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=1,0.001057771,20383308.96
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=2,0.006183678,26878421.06
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=5,0.013510535,29443946.75
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=7,0.018419472,28428988.15
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=9,0.023492793,26528431.82
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=10,0.027347569,26670711.64
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=13,0.034690142,27841642.09
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=15,0.039664679,27280275.84
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=16,0.043470238,24742011.68
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=17,0.047327365,25760704.77
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=18,0.051193941,27588362.44
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=19,0.054876221,28791113.47
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=21,0.059834875,27782807.62
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=22,0.063668729,25692069.14
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=24,0.0687991,28645405.62
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=25,0.072455566,26405259.95
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=27,0.077510433,25950534.51
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=28,0.081496543,26277259.74
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=29,0.085370818,27204458.79
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=30,0.089237422,25867089.07
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=32,0.094360324,29523491.04
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=33,0.09800573,27156178.59
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=34,0.101855015,26810776.69
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=35,0.105706499,29864770.81
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=36,0.109392125,25830554.23
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=38,0.114539207,28254906
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=39,0.118206314,26933777.81
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=40,0.122056976,27532800.29
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=41,0.125744803,27067640.16
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=42,0.12961431,26779428.83
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=44,0.134678895,27309544.58
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=45,0.138496294,25672007.13
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=46,0.142351257,27248199.45
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=47,0.146199684,24850240.25
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=48,0.150055865,26066872.17
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=49,0.153955899,27455174.45
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=52,0.16122484,27933251.07
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=53,0.165004552,26398844.95
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=54,0.168850867,27945738.18
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=55,0.172540603,28319754.15
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=57,0.177501079,27837816.54
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=58,0.181304984,27894516.32
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=59,0.185013883,26582946.76
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=60,0.18886642,27509176.55
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=61,0.192713511,26606017.69
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=62,0.196567542,26707954.14
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=63,0.200419497,26719672.54
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=64,0.2042698,28091746.35
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=65,0.208136249,27822287.04
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=67,0.213125983,27631510.76
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=68,0.216935946,25705322.59
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=69,0.220821466,27933297.32
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=70,0.224497619,26033983.03
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=71,0.22835532,26397027.53
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=72,0.232222253,27691698.25
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=74,0.23723006,27984415.22
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=75,0.241043158,25686374.34
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=76,0.244897266,26257402.83
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=77,0.248747598,26776112.83
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=78,0.252617869,26677412.47
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=79,0.256479678,27873053.12
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=81,0.261466307,27340569.95
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=82,0.265279798,27671881.6
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=83,0.268955943,26620558.74
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=84,0.272805893,27611737.23
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=85,0.276484291,25586913.13
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=86,0.280345459,26376695.79
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=87,0.284205309,26695068.03
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=88,0.288136386,27869207.56
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=89,0.291984001,28259976.9
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=90,0.295682565,27543195.36
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=91,0.299519581,26987678.25
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=92,0.303367591,28020999.47
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=93,0.307042884,25408472.85
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=94,0.310896955,27864529.91
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=95,0.31457565,26591416.96
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=96,0.318441856,26918150.05
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=97,0.322291839,25794221.72
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=98,0.326151267,26810290.95
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=99,0.330005827,28833717.09
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=100,0.333680042,26247152.64
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=101,0.337536498,27592999.95
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=102,0.341400794,26597550.99
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=104,0.346467459,27025956.05
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=106,0.351506863,28892377.61
NEW_250402_mEclipse_QC_ncORF-089,controllerType=0 controllerNumber=1 scan=107,0.355342913,27590815.81
